what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.linuxtools.cdt.libhover.devhelp,1.0.0.201402102340,"org.eclipse.linuxtools.cdt.libhover.devhelp",1422656575710
stopped,bundle,org.eclipse.linuxtools.cdt.libhover,1.2.0.201402102340,"org.eclipse.linuxtools.cdt.libhover",1422656575711
stopped,bundle,org.eclipse.linuxtools.changelog.core,2.8.0.201402102340,"org.eclipse.linuxtools.changelog.core",1422656575715
stopped,bundle,org.eclipse.linuxtools.dataviewers.annotatedsourceeditor,5.0.0.201402102340,"org.eclipse.linuxtools.dataviewers.annotatedsourceeditor",1422656575716
stopped,bundle,org.eclipse.cdt.ui,5.7.0.201402142303,"org.eclipse.cdt.ui",1422656575718
stopped,bundle,org.eclipse.egit.ui,3.2.0.201312181205-r,"org.eclipse.egit.ui",1422656575725
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1422656575732
stopped,bundle,org.eclipse.rse.importexport,1.2.300.201205241511,"org.eclipse.rse.importexport",1422656575744
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.300.201205062159,"org.eclipse.rse.subsystems.shells.telnet",1422656575745
stopped,bundle,org.eclipse.rse.shells.ui,3.0.500.201305031537,"org.eclipse.rse.shells.ui",1422656575762
stopped,bundle,org.eclipse.rse.files.ui,3.2.200.201307171555,"org.eclipse.rse.files.ui",1422656575763
stopped,bundle,org.eclipse.rse.processes.ui,3.0.400.201205062159,"org.eclipse.rse.processes.ui",1422656575764
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.801.v201308100603,"org.eclipse.wst.dtd.ui",1422656575766
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.6.2.v201403212031-1085508,"overlay.com.android.ide.eclipse.adt.overlay",1422656575767
stopped,bundle,com.android.ide.eclipse.adt,22.6.2.v201403212031-1085508,"com.android.ide.eclipse.adt",1422656575767
stopped,bundle,org.eclipse.fx.ide.fxml,1.1.0.201411050807,"org.eclipse.fx.ide.fxml",1422656575767
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.500.v201203081826,"org.eclipse.wst.xsd.ui",1422656575770
stopped,bundle,org.eclipse.wst.xml.ui,1.1.500.v201403122203,"org.eclipse.wst.xml.ui",1422656575773
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1422656575775
stopped,bundle,org.eclipse.fx.ide.jdt.ui,1.1.0.201411050807,"org.eclipse.fx.ide.jdt.ui",1422656575777
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1422656575779
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1422656575780
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.501.v20140808-0849,"org.eclipse.pde.api.tools.ui",1422656575780
stopped,bundle,org.eclipse.pde.ds.ui,1.0.300.v20140204-1740,"org.eclipse.pde.ds.ui",1422656575785
stopped,bundle,org.eclipse.pde.runtime,3.4.400.v20140512-1555,"org.eclipse.pde.runtime",1422656575786
stopped,bundle,org.eclipse.pde.ua.ui,1.0.300.v20140307-1548,"org.eclipse.pde.ua.ui",1422656575788
stopped,bundle,org.eclipse.pde.ui.templates,3.4.800.v20140410-2009,"org.eclipse.pde.ui.templates",1422656575791
stopped,bundle,org.eclipse.e4.tools.emf.editor3x,0.12.0.v20140726-0138,"org.eclipse.e4.tools.emf.editor3x",1422656575811
stopped,bundle,org.eclipse.e4.tools,0.12.0.v20140806-0758,"org.eclipse.e4.tools",1422656575813
stopped,bundle,org.eclipse.fx.ide.fxgraph.ui,1.1.0.201411050807,"org.eclipse.fx.ide.fxgraph.ui",1422656575821
stopped,bundle,org.eclipse.xtend.ide,2.7.3.v201411190455,"org.eclipse.xtend.ide",1422656575825
stopped,bundle,org.eclipse.xtext.common.types.shared,2.7.3.v201411190455,"org.eclipse.xtext.common.types.shared",1422656575826
stopped,bundle,org.eclipse.xtext.purexbase.ui,2.7.3.v201411190455,"org.eclipse.xtext.purexbase.ui",1422656575827
stopped,bundle,org.eclipse.xtend.core,2.7.3.v201411190455,"org.eclipse.xtend.core",1422656575829
stopped,bundle,org.eclipse.xtext.xbase.ui,2.7.3.v201411190455,"org.eclipse.xtext.xbase.ui",1422656575831
stopped,bundle,org.eclipse.xtext.xtext.ui,2.7.3.v201411190455,"org.eclipse.xtext.xtext.ui",1422656575836
