what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422668644397
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422668658447
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1422668658547
opened,view,org.eclipse.debug.ui,3.10.0.v20140604-1637,"org.eclipse.debug.ui.DebugView",1422668659086
started,bundle,org.eclipse.mylyn.context.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.context.ui",1422668659391
activated,view,org.eclipse.debug.ui,3.10.0.v20140604-1637,"org.eclipse.debug.ui.DebugView",1422668659525
opened,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.ClassFileEditor",1422668661341
activated,view,org.eclipse.ui.ide,3.10.0.v20140521-1937,"org.eclipse.ui.views.ProblemView",1422668666970
activated,view,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.PackageExplorer",1422668667177
closed,view,org.eclipse.debug.ui,3.10.0.v20140604-1637,"org.eclipse.debug.ui.DebugView",1422668667196
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1422668668859
activated,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.ClassFileEditor",1422668671962
activated,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.CompilationUnitEditor",1422668672153
closed,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.ClassFileEditor",1422668672320
executed,command,org.eclipse.debug.ui,3.10.0.v20140604-1637,"org.eclipse.debug.ui.commands.DebugLast",1422668674481
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422668675620
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422668682871
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1422668682939
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422668686278
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422668690563
activated,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.CompilationUnitEditor",1422668692239
activated,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.CompilationUnitEditor",1422668698605
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422668717955
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422668719276
closed,view,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.PackageExplorer",1422668719439
closed,view,org.eclipse.mylyn.tasks.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1422668719540
closed,view,org.eclipse.ui.views,3.7.0.v20140408-0703,"org.eclipse.ui.views.ContentOutline",1422668719604
closed,view,org.eclipse.ui.ide,3.10.0.v20140521-1937,"org.eclipse.ui.views.ProblemView",1422668719732
closed,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1422668719752
closed,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.CompilationUnitEditor",1422668719830
closed,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.CompilationUnitEditor",1422668719911
closed,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.CompilationUnitEditor",1422668719983
closed,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422668720453
closed,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422668720757
stopped,bundle,org.eclipse.compare.win32,1.0.200.v20130514-1224,"org.eclipse.compare.win32",1422668721264
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.300.v20140407-1803,"org.eclipse.equinox.p2.ui.sdk",1422668721265
stopped,bundle,org.eclipse.cdt.debug.ui.memory.floatingpoint,1.0.0.201402142303,"org.eclipse.cdt.debug.ui.memory.floatingpoint",1422668721306
